Символ,Частота,Вероятность
" ",232774,0.157970
о,125984,0.085498
а,92795,0.062974
е,90258,0.061253
и,72732,0.049359
н,70426,0.047794
т,63704,0.043232
с,58161,0.039470
л,56632,0.038433
в,49283,0.033445
р,48632,0.033004
к,37290,0.025307
д,32710,0.022198
",",32575,0.022107
м,32344,0.021950
у,31041,0.021066
п,26081,0.017700
я,24859,0.016870
ь,22402,0.015203
г,22170,0.015045
ы,21373,0.014505
з,19403,0.013168
б,18434,0.012510
ч,15508,0.010524
.,13338,0.009052
й,12978,0.008807
ж,11545,0.007835
ш,10793,0.007325
х,9583,0.006503
–,8187,0.005556
ю,7200,0.004886
e,7083,0.004807
\r,6701,0.004548
\n,6701,0.004548
ц,3883,0.002635
щ,3223,0.002187
Н,3009,0.002042
э,2971,0.002016
s,2893,0.001963
n,2826,0.001918
a,2718,0.001845
i,2615,0.001775
r,2600,0.001764
o,2429,0.001648
u,2424,0.001645
П,2368,0.001607
t,2284,0.001550
А,2213,0.001502
ф,2038,0.001383
В,2024,0.001374
l,1883,0.001278
О,1851,0.001256
?,1681,0.001141
!,1649,0.001119
К,1607,0.001091
Д,1445,0.000981
Б,1445,0.000981
m,1418,0.000962
М,1361,0.000924
c,1236,0.000839
d,1230,0.000835
С,1171,0.000795
…,1093,0.000742
Р,1037,0.000704
ё,962,0.000653
p,957,0.000649
И,945,0.000641
;,922,0.000626
Т,848,0.000575
:,746,0.000506
v,705,0.000478
«,674,0.000457
»,625,0.000424
Я,623,0.000423
',610,0.000414
[,548,0.000372
],547,0.000371
h,540,0.000366
ъ,505,0.000343
Г,499,0.000339
Э,454,0.000308
Ч,451,0.000306
Е,406,0.000276
f,387,0.000263
q,386,0.000262
),341,0.000231
g,332,0.000225
b,323,0.000219
(,317,0.000215
I,297,0.000202
Л,277,0.000188
З,239,0.000162
У,239,0.000162
z,213,0.000145
j,201,0.000136
0,189,0.000128
M,179,0.000121
1,159,0.000108
Ж,158,0.000107
V,153,0.000104
A,141,0.000096
B,141,0.000096
X,137,0.000093
Ф,132,0.000090
Х,118,0.000080
x,112,0.000076
Ш,102,0.000069
L,100,0.000068
8,83,0.000056
y,82,0.000056
C,81,0.000055
J,73,0.000050
N,70,0.000048
P,67,0.000045
2,64,0.000043
S,59,0.000040
D,54,0.000037
3,53,0.000036
E,51,0.000035
k,48,0.000033
5,46,0.000031
6,39,0.000026
4,35,0.000024
Ц,30,0.000020
w,29,0.000020
7,29,0.000020
T,25,0.000017
R,25,0.000017
O,24,0.000016
Q,23,0.000016
9,23,0.000016
G,22,0.000015
F,22,0.000015
U,16,0.000011
“,16,0.000011
H,16,0.000011
„,16,0.000011
K,14,0.000010
Ю,14,0.000010
W,11,0.000007
Ь,10,0.000007
`,7,0.000005
Z,4,0.000003
*,3,0.000002
Й,2,0.000001
Щ,2,0.000001
&,1,0.000001
