Символ,Код
\n\r,10100010100
\n ,11111000100010111011
\n(,11111000100000111100
\n1,101010000100100011
\n2,1111011011111010011
\n3,1010100001010100110
\n4,11111000100001111110
\nA,111110001001010000110
\nD,111110001001000001110
\nI,011001111010010
\nL,1010100001010101100
\nM,101010000100001011
\nO,111110001001011001100
\nP,111110001001001010001
\nV,000000110010111
\nX,10011001011100
\n[,111101101111000001
\n«,1110111010110
\nА,111001110000011
\nБ,10010011110111
\nВ,010110001011
\nГ,10101000010111
\nД,10111001000100
\nЕ,10001001110101001
\nЖ,0001001111110010
\nЗ,1100000000000001
\nИ,11100011101000
\nК,011101001111
\nЛ,1110101110000111
\nМ,110110111010000
\nН,001110110100
\nО,1100100111101
\nП,000000100010
\nР,10000001111101
\nС,11111000100111
\nТ,100001010101010
\nУ,1011110110111101
\nФ,00111111011001011
\nХ,111101101110100111
\nЦ,11111000100011110000
\nЧ,100010011100000
\nШ,101010000100010011
\nЭ,0101100000111110
\nЮ,11111000100000101101
\nЯ,011011010100101011
\nг,00000011000000010111
\nк,11111000100010001001
\n–,101010010
\n…,111110001001000101001
\r\n,11000001
" \r",00000011000000010011
"  ",11000011111100
" '",111110001001100010111
" (",011000101000
" )",1010100001011011001
" ,",101000000101011
" .",000100011001101
" 0",110100111000111100
" 1",0001101110111
" 2",101001111010011
" 3",000100111010111
" 4",1010011111101011
" 5",11100011110110001
" 6",0011111011111011
" 7",11100011110110010
" 8",0101100010100001
" 9",110100111000111010
" :",111110001001000001001
" ;",11111000100000010101
" ?",1111011011111000010
" A",11101110010010
" B",0010001010000
" C",01001010101010
" D",100101011101010
" E",1110101110001110
" F",1000100111000100
" G",1000100111001011
" H",11101011100011111
" I",011110111010000
" J",111110111111100
" K",11010011001101011
" L",10001001001101
" M",0111010000101
" N",00001011011101
" O",1000000100010100
" P",111110111111101
" Q",1000000100010000
" R",1011001001100010
" S",101110010001100
" T",0101100000111101
" U",10001100010010010
" V",111000000110100
" W",01100111101110010
" X",110100111000100000
" Z",1111011011110111100
" [",00010001101
" ]",111110001001001001010
" a",111001111000
" b",0110001010010
" c",01111011100
" d",11001000010
" e",111000001110
" f",1101111101110
" g",11011001100011
" h",01100011110001
" i",11000011001111
" j",1000100000011
" k",1111011011111000100
" l",10001111000
" m",01100010000
" n",010010101000
" o",111000000110101
" p",01110100110
" q",010111011001
" r",0100110010111
" s",101111011000
" t",1110011100001
" u",0011111011001
