Символ,Код
\n\r,11100011010
\n ,1111111111011011110
\n(,11111111111001110101
\n1,111111111001100011
\n2,111111111011111101
\n3,1111111111001110011
\n4,11111111111000010101
\nA,111111111111100011001
\nD,111111111111111001000
\nI,111111010110011
\nL,1111111111001101100
\nM,111111111001111101
\nO,111111111111010110100
\nP,11111111111110110011
\nV,1111110111000101
\nX,11111010101100
\n[,11111111011100101
\n«,111100111110
\nА,11111100010101
\nБ,11111010110011
\nВ,111100011001
\nГ,1111101001111
\nД,11111010010011
\nЕ,111111110100100000
\nЖ,11111110110111000
\nЗ,1111111001010001
\nИ,11111001011000
\nК,111100000111
\nЛ,111111011110111
\nМ,111111000111100
\nН,1111001010001
\nО,111101010101
\nП,1111001101000
\nР,11111011000100
\nС,11111001000000
\nТ,1111110101000000
\nУ,1111111001010101
\nФ,11111111010110111
\nХ,111111110111110001
\nЦ,1111111111010110111
\nЧ,111111010010110
\nШ,111111111001110100
\nЭ,1111111011000111
\nЮ,1111111111101000101
\nЯ,111111111011001001
\nг,11111111111011000110
\nк,1111111111100000011
\n–,101010101
\n…,111111111111110100001
\r\n,01101101
" \r",11111111111011001001
"  ",11111010000000
" '",11111111111100100011
" (",111100010001
" )",1111111111000111100
" ,",111111010001000
" .",111111011010110
" 0",111111111000000001
" 1",1111100010001
" 2",111111010000011
" 3",1111110110111001
" 4",111111100110111
" 5",11111111000000101
" 6",1111111011010101
" 7",11111111000000100
" 8",11111110110001001
" 9",111111111000000011
" :",111111111111111010000
" ;",1111111111101010110
" ?",111111111100001001
" A",11111001001001
" B",11111000100001
" C",11111011101101
" D",111111010001001
" E",1111110111100100
" F",1111111010001110
" G",1111111010010010
" H",1111111011101011
" I",111111010101101
" J",111111000001100
" K",1111111100010110
" L",11111010111010
" M",11110111100001
" N",11111011111110
" O",1111111010100111
" P",11111100000101
" Q",1111111010101011
" R",1111111001100001
" S",111111001100100
" T",11111110110010000
" U",1111111100111011
" V",11111100011011
" W",11111111010101011
" X",111111111000100011
" Z",111111111100001101
" [",11101001101
" ]",111111111111101110001
" a",111010110001
" b",1111011111000
" c",11100101111
" d",1101111011
" e",11101011011
" f",1111010001101
" g",11111001100100
" h",11111011011111
" i",11111010000001
" j",1111011100100
" k",1111111111000010000
" l",11100100100
" m",11100111101
" n",111100011111
" o",111111000110101
" p",111001100001
" q",111100010101
" r",1111100000010
" s",11101101101
" t",1111010000011
" u",1111100001010
" v",111011110001
" w",1111111010011100
" x",11111111110110011000
" y",1111111010010100
" z",11111111001011010
" «",111011010101
" »",1111111111000101010
" А",101110101
" Б",1100111101
" В",1100011011
" Г",11101110111
" Д",1101000010
" Е",111011110101
" Ж",1111100001111
" З",1111011000011
" И",11100010100
" Й",111111111111101001000
" К",1101001111
" Л",111101000101
" М",11010001000
" Н",101100100
" О",1100100111
" П",101111011
" Р",11011100100
" С",1101101011
" Т",11100010111
" У",1111011001010
" Ф",11111001010000
" Х",11111010010101
" Ц",1111111000100010
" Ч",111011111101
" Ш",11111010101001
" Щ",11111111110110001000
" Э",111011100011
" Ю",11111111001010000
" Я",11101000111
