Символ,Код
\n,10110001
\r,10110100
" ",110
!,1011000011
&,0010101111011110000
',01011011110
(,011000000110
),100100001000
*,1010100110101001101
",",00011
.,1011001
0,1010100110100
1,0110000001110
2,111011100111110
3,101100001011101
4,001010111100001
5,100100001001011
6,001010111101110
7,1110111001100010
8,10010000100100
9,1001000010010101
:,10101001100
;,10110110110
?,1011011000
A,0010101111010
B,0010101111001
C,01100000011110
D,111011100110000
E,101100001001101
F,0010101111011111
G,1001000010010100
H,11101110011110111
I,001010111110
J,00101011110110
K,10110000101110011
L,10101001101011
M,1001000010011
N,00101011110001
O,1011000010011000
P,111011100111111
Q,1010100110101000
R,1011000010011001
S,111011100111100
T,1011000010111000
U,0010101111000001
V,0010101111110
W,10101001101010010
X,11101111111101
Z,001010111101111001
[,00101010011
],00101010010
`,101010011010100111
a,100100000
b,011000011000
c,0110000000
d,0101101110
e,10110101
f,101100001000
g,011000011001
h,111011111110
i,011000010
j,1011000010010
k,101010011010101
l,1110111000
m,1001000011
n,100100010
o,010110110
p,11101110010
q,101010011011
r,011000001
s,101010000
t,001010110
u,010110101
v,10010000101
w,1110111001100011
x,10110000101111
y,01100000011111
z,1011000010110
«,01100001101
»,01100000010
А,001010101
Б,1001000110
В,1110111101
Г,111011110010
Д,1001000111
Е,101100001010
Ж,0010101111111
З,1110111001110
И,10110110111
Й,1010100110101001100
К,1010100111
Л,1110111111111
М,0110000111
Н,101010010
О,1011011010
П,010110100
Р,11101111110
С,0010101110
Т,10110110010
У,1110111001101
Ф,11101111111100
Х,11101110011001
Ц,1110111001111010
Ч,101101100110
Ш,10110000100111
Щ,0010101111011110001
Ь,00101011110111101
Э,101101100111
Ю,10110000101110010
Я,01011011111
а,1000
б,001011
в,10100
г,011010
д,00100
е,0111
ж,1001001
з,010111
и,0100
й,1010101
к,01010
л,10111
м,00010
н,0011
о,1111
п,101011
р,10011
с,11100
т,0000
у,111010
ф,1110111110
х,0101100
ц,111011101
ч,1110110
ш,0110001
щ,101100000
ъ,111011110011
ы,011001
ь,011011
э,101010001
ю,10110111
я,100101
ё,11101111000
–,0010100
“,0010101111000000
„,11101110011110110
…,0010101000
