Символ,Код
\n,11101101
\r,11101100
" ",000
!,111110001
&,111111111111111111
',11111101011
(,111111101101
),111111101001
*,111111111111111100
",",10101
.,110111
0,1111111101000
1,111111110101
2,11111111110011
3,11111111110101
4,111111111110010
5,111111111110000
6,111111111110001
7,111111111110101
8,1111111110101
9,111111111111001
:,11111100101
;,1111110001
?,1111100001
A,111111110111
B,11111111100000
C,1111111110111
D,111111111101001
E,11111111110110
F,1111111111110101
G,1111111111110100
H,1111111111111001
I,11111110111
J,11111111110000
K,1111111111111011
L,11111111101001
M,1111111101001
N,11111111110001
O,1111111111110000
P,11111111110010
Q,1111111111110001
R,111111111110111
S,111111111101000
T,111111111110110
U,111111111111011
V,1111111101101
W,11111111111111001
X,11111111100001
Z,11111111111111101
[,11111101100
],11111101101
`,11111111111111100
a,111100101
b,111111101100
c,1111101010
d,1111101011
e,1110101
f,11111110011
g,11111110101
h,1111110111
i,111100110
j,111111110011
k,11111111110111
l,111101111
m,1111101000
n,111100100
o,111101000
p,11111100000
q,111111101000
r,111100111
s,111100011
t,111101011
u,111101001
v,1111110011
w,111111111110100
x,1111111110011
y,1111111110110
z,111111110010
«,11111101000
»,11111101001
А,111101100
Б,111110011
В,111101110
Г,111111100001
Д,1111100101
Е,111111100101
Ж,1111111101100
З,1111111100001
И,11111100001
Й,111111111111111101
К,1111100100
Л,1111111100000
М,1111101001
Н,111100001
О,1111100000
П,111101010
Р,1111101110
С,1111101100
Т,11111100100
У,111111110001
Ф,1111111110001
Х,1111111110010
Ц,111111111110011
Ч,111111100100
Ш,11111111101000
Щ,111111111111111110
Ь,1111111111111101
Э,11111110001
Ю,11111111111111000
Я,11111101010
а,0011
б,110101
в,10010
г,110011
д,101001
е,0100
ж,1110001
з,1101001
и,0101
й,1110000
к,101000
л,10001
м,10110
н,0110
о,0010
п,110000
р,10011
с,10000
т,0111
у,10111
ф,111101101
х,1110011
ц,1110111
ч,110110
ш,1110010
щ,111100000
ъ,111111100000
ы,1101000
ь,110010
э,111100010
ю,11101001
я,110001
ё,1111101111
–,11101000
“,1111111111111000
„,1111111111111010
…,1111101101
