hanzi,occurrences
的,4821
一,3950
是,3612
不,3405
了,3288
在,3102
人,2987
有,2854
我,2765
他,2643
这,2521
个,2488
们,2356
中,2245
来,2134
上,2098
大,2012
为,1987
和,1954
国,1923
地,1890
到,1867
以,1845
说,1812
时,1789
要,1765
就,1743
出,1721
会,1698
可,1676
也,1654
你,1632
对,1610
生,1589
能,1567
而,1545
子,1523
那,1501
得,1480
于,1458
着,1437
下,1415
自,1394
之,1372
年,1351
过,1330
发,1308
后,1287
作,1266
里,1245
用,1224
道,1203
行,1182
所,1161
然,1140
家,1120
种,1099
事,1079
成,1058
方,1038
多,1018
经,998
么,978
去,958
法,938
学,919
如,899
都,880
同,860
现,841
当,822
没,803
动,784
面,765
起,747
看,728
定,710
天,692
分,674
还,656
进,638
好,620
小,603
部,585
其,568
些,550
主,533
样,516
理,499
心,482
她,465
本,448
前,432
开,415
但,399
因,383
只,367
从,351
想,335
实,320
