un algorithme,алгоритм
une analyse de données,анализ данных
une application,приложение
une application web,веб-приложение
un cadre de développement,фреймворк
un code binaire,двоичный код
un code hexadécimal,шестнадцатеричный код
un codage,кодирование
une commande,команда
un compilateur,компилятор
une condition,условие
un développeur,разработчик
une génération,поколение
une intelligence artificielle,искусственный интеллект
un interpréteur,интерпретатор
un langage de bas niveau,язык низкого уровня
un langage de programmation,язык программирования
un langage de script,скриптовый язык
un langage formel,формальный язык
un langage fonctionnel,функциональный язык
un langage impératif,императивный язык
un langage machine,машинный язык
un langage orienté objet,объектно-ориентированный язык
une ligne de code,строка кода
accomplir une tâche,выполнять задачу
automatiser une tâche,автоматизировать задачу
choisir un langage,выбирать язык
communiquer avec les ordinateurs,взаимодействовать с компьютерами
créer une application,создавать приложение
créer une condition,создавать условие
créer un site web,создавать веб-сайт
décrire un algorithme,описывать алгоритм
écrire un script,писать скрипт
