Abbreviation,Full_Name
ADSL,Ligne d'Abonne Numerique Asymetrique
APN,Appareil Photo Numerique
API,Interface de Programmation d'Applications
AR,Realite Augmentee
ARPANET,Reseau de l'Agence pour les Projets de Recherche Avancee
AV,Assistant Vocal
BIOS,Systeme d'Entree /Sortie de Base
BYOD,Apportez Votre Equipement Personnel de Communication
CAPTCHA,Test de Turing public completement automatise pour distinguer les ordinateurs des humains
CGU,Conditions Generales d'Utilisation
CERN,Conseil Europeen pour la Recherche Nucleaire
CMS,Systeme de Gestion de Contenu
CPL,Courants Porteurs en Ligne
CRM,Gestion de la Relation Client
CRT,Tube a Rayons Cathodiques
CSS,Feuilles de Style en Cascade
DBA,Administrateur de Base de Donnees
DDoS,Deni de Service Distribue
DMOZ,Repertoire Mozilla ( Projet de Repertoire Ouvert )
DNS,Systeme de Noms de Domaine
DSL,Ligne d'Abonne Numerique
DVI,Interface Visuelle Numerique
ERP,Planification des Ressources de l'Entreprise
FAI,Fournisseur d'Acces a Internet
FTP,Protocole de Transfert de Fichiers
Go,Gigaoctet
GPS,Systeme de Positionnement Global
GPL,Licence Publique Generale
HD,Haute Definition
HDD,Disque Dur
HDMI,Interface Multimedia Haute Definition
HTML,Langage de Balisage HyperTexte
HTML5,Langage de Balisage HyperTexte version 5
HTTP,Protocole de Transfert Hypertexte
HTTP/2,Protocole de Transfert Hypertexte version 2
HTTPS,Protocole de Transfert Hypertexte Securise
Hz,Hertz
IA,Intelligence Artificielle
ICT,Technologie de l'Information et de la Communication
IdO / IoT,Internet des Objets
IP,Protocole Internet
IPS,Commutation dans le Plan
IR,Infrarouge
JPEG,Groupe d'Experts Photographiques Joint
JSON,Notation Objet JavaScript
Ko,Kilooctet
LAN,Reseau Local
LCD,Affichage a Cristaux Liquides
LED,Diode Electroluminescente
MAC,Controle d'Acces au Support
MAN,Reseau Metropolitain
Mo,Megaoctet
MP3,MPEG-1/2 Audio Layer 3
NFC,Communication en Champ Proche
OLED,Diode Electroluminescente Organique
OS,Systeme d'Exploitation
OSI,Interconnexion de Systemes Ouverts
PC,Ordinateur Personnel
PDF,Format de Document Portable
PHP,Preprocesseur Hypertexte PHP ( acronyme recursif )
PNG,Graphics Network Portables
PS/2,Port pour Souris/Clavier ( norme IBM)
QA,Assurance Qualite
RAM,Memoire vive
REST,Transfert d'Etat Representationnel
RJ45,Jack Enregistre 45 ( Connecteur reseau )
RNA / RNN,Reseau de Neurones Artificiels
ROM,Memoire morte
RV / VR,Realite Virtuelle
SDK,Kit de Developpement Logiciel
SE,Systeme d'Exploitation
SEO,Optimisation pour les Moteurs de Recherche
SGBD,Systeme de Gestion de Base de Donnees
SIM,Module d'Identite d'Abonne
SMS,Service de Messages Courts
SMTP,Protocole Simple de Transfert de Courrier
SPAM,Courrier Indesirable
SQL,Langage de Requete Structure
SSD,Disque a Etat Solide
SSL,Couche de Sockets Securisee
TCP,Protocole de Controle de Transmission
TFT,Transistor a Film Fin
TI,Technologies de l'Information
To,Teraoctet
UAL,Unite Arithmetique et Logique
UDP,Protocole de Datagramme Utilisateur
UID,Identifiant Unique
UI,Interface Utilisateur
URL,Localisateur Uniforme de Ressource
USB,Bus Serie Universel
UX,Experience Utilisateur
VGA,Matrice Graphique Video
VLAN,Reseau Local Virtuel
VoIP,Voix sur Protocole Internet
VPN,Reseau Prive Virtuel
WAN,Reseau Etendu
Wi-Fi,Fidelite sans Fil
WLAN,Reseau Local sans Fil
WWW,Toile Mondiale
XML,Langage de Balisage Extensible
