ID	Дата	Показатель
G036	03.03.2016 1:01	0.811
G037	03.03.2016 1:12	0.057
G038	03.03.2016 1:22	0.042
G039	03.03.2016 1:26	0.548
G040	03.03.2016 1:27	0.897
G041	03.03.2016 1:40	0.783
G042	03.03.2016 1:54	0.89
G043	03.03.2016 1:56	0.992
G044	03.03.2016 2:00	0.965
G045	03.03.2016 2:04	0.457
G046	03.03.2016 2:07	0.466
G047	03.03.2016 2:10	0.636
G048	03.03.2016 2:16	0.167
G049	03.03.2016 2:17	0.044
G050	03.03.2016 2:19	0.426
G051	03.03.2016 2:35	0.254
G052	03.03.2016 2:37	0.432
G053	03.03.2016 2:44	0.039
G054	03.03.2016 2:47	0.96
G055	03.03.2016 2:59	0.686
G056	03.03.2016 2:59	0.088
G057	03.03.2016 3:04	0.38
G058	03.03.2016 3:09	0.079
G059	03.03.2016 3:11	0.228
G060	03.03.2016 3:14	0.226
G061	03.03.2016 3:18	0.582
G062	03.03.2016 3:25	0.5
G063	03.03.2016 3:27	0.006
G064	03.03.2016 3:32	0.141
G065	03.03.2016 3:35	0.578
G066	03.03.2016 3:35	0.957
G067	03.03.2016 3:39	0.753
G068	03.03.2016 3:42	0.439
G069	03.03.2016 3:47	0.776
G070	03.03.2016 3:49	0.46
G071	03.03.2016 3:51	0.824
G072	03.03.2016 3:53	0.791
G073	03.03.2016 4:12	0.318
G074	03.03.2016 4:17	0.315
G075	03.03.2016 5:07	0.904
G076	03.03.2016 5:09	0.825
G077	03.03.2016 5:13	0.847
G078	03.03.2016 5:18	0.149
G079	03.03.2016 5:50	0.735
G080	03.03.2016 6:09	0.101
G081	03.03.2016 6:16	0.883
G082	03.03.2016 6:52	0.072
G083	03.03.2016 6:56	0.346
G084	03.03.2016 7:32	0.854
G085	03.03.2016 7:44	0.402
G086	03.03.2016 7:50	0.286
G01	03.03.2016 8:19	0.437
G087	03.03.2016 8:26	0.52
G02	03.03.2016 8:26	0.009
G03	03.03.2016 8:32	0.319
G04	03.03.2016 8:37	0.98
G088	03.03.2016 8:38	0.53
G05	03.03.2016 8:51	0.024
G06	03.03.2016 9:05	0.276
G07	03.03.2016 9:15	0.481
G08	03.03.2016 9:23	0.236
G09	03.03.2016 9:44	0.069
G010	03.03.2016 9:48	0.238
G011	03.03.2016 9:52	0.434
G089	03.03.2016 9:57	0.268
G012	03.03.2016 10:06	0.387
G013	03.03.2016 10:11	0.597
G014	03.03.2016 10:14	0.122
G015	03.03.2016 10:20	0.072
G016	03.03.2016 10:22	0.818
G017	03.03.2016 10:29	0.115
G018	03.03.2016 10:33	0.498
G019	03.03.2016 10:35	0.954
G020	03.03.2016 10:43	0.274
G021	03.03.2016 10:47	0.635
G022	03.03.2016 10:47	0.257
G023	03.03.2016 10:50	0.309
G024	03.03.2016 10:53	0.817
G025	03.03.2016 10:55	0.194
G026	03.03.2016 10:59	0.506
G027	03.03.2016 11:01	0.372
G028	03.03.2016 11:04	0.026
G029	03.03.2016 11:31	0.84
G030	03.03.2016 12:13	0.581
G031	03.03.2016 12:19	0.151
G032	03.03.2016 12:29	0.229
G033	03.03.2016 12:32	0.339
G034	03.03.2016 12:36	0.57
G035	03.03.2016 12:38	0.994
G0164	04.03.2016 1:03	0.445
G0165	04.03.2016 1:11	0.993
G0166	04.03.2016 1:15	0.401
G0167	04.03.2016 1:25	0.842
G0168	04.03.2016 1:31	0.528
G0169	04.03.2016 1:38	0.07
G0170	04.03.2016 1:41	0.111
G0171	04.03.2016 1:43	0.033
G0172	04.03.2016 1:44	0.761
G0173	04.03.2016 1:52	0.992
G0174	04.03.2016 1:52	0.323
G0175	04.03.2016 1:55	0.244
G0176	04.03.2016 2:01	0.351
G0177	04.03.2016 2:03	0.497
G0178	04.03.2016 2:07	0.05
G0179	04.03.2016 2:09	0.929
G0180	04.03.2016 2:13	0.264
G0181	04.03.2016 2:20	0.664
G0182	04.03.2016 2:31	0.613
G0183	04.03.2016 2:32	0.075
G0184	04.03.2016 2:38	0.078
G0185	04.03.2016 2:51	0.312
G0186	04.03.2016 2:58	0.568
G0187	04.03.2016 3:02	0.512
G0188	04.03.2016 3:07	0.961
G0189	04.03.2016 3:11	0.124
G0190	04.03.2016 3:11	0.266
G0191	04.03.2016 3:22	0.414
G0192	04.03.2016 3:26	0.606
G0193	04.03.2016 3:26	0.485
G0194	04.03.2016 3:31	0.976
G0195	04.03.2016 3:32	0.588
G0196	04.03.2016 3:33	0.149
G0197	04.03.2016 3:35	0.265
G0198	04.03.2016 3:44	0.737
G0199	04.03.2016 3:45	0.438
G0200	04.03.2016 3:51	0.376
G0201	04.03.2016 3:58	0.032
G0202	04.03.2016 4:14	0.364
G0203	04.03.2016 4:32	0.674
G0204	04.03.2016 4:40	0.757
G0205	04.03.2016 4:46	0.431
G0206	04.03.2016 4:48	0.283
G0207	04.03.2016 4:48	0.167
G0208	04.03.2016 4:49	0.118
G0209	04.03.2016 5:03	0.713
G0210	04.03.2016 5:07	0.106
G090	04.03.2016 5:32	0.527
G091	04.03.2016 5:46	0.985
G092	04.03.2016 5:55	0.646
G093	04.03.2016 6:00	0.133
G094	04.03.2016 6:00	0.279
G095	04.03.2016 6:03	0.9
G096	04.03.2016 6:06	0.296
G0211	04.03.2016 6:14	0.184
G0212	04.03.2016 6:16	0.743
G0213	04.03.2016 6:28	0.266
G097	04.03.2016 6:34	0.41
G0214	04.03.2016 6:34	0.458
G0215	04.03.2016 6:41	0.978
G098	04.03.2016 7:10	0.495
G099	04.03.2016 7:15	0.384
G0100	04.03.2016 7:19	0.312
G0216	04.03.2016 7:19	0.402
G0217	04.03.2016 7:23	0.537
G0101	04.03.2016 7:31	0.057
G0218	04.03.2016 7:33	0.159
G0219	04.03.2016 7:38	0.934
G0102	04.03.2016 8:14	0.057
G0220	04.03.2016 8:20	0.803
G0103	04.03.2016 8:22	0.884
G0104	04.03.2016 8:25	0.791
G0221	04.03.2016 8:27	0.825
G0105	04.03.2016 8:33	0.673
G0106	04.03.2016 8:52	0.467
G0107	04.03.2016 8:53	0.276
G0222	04.03.2016 8:54	0.113
G0108	04.03.2016 8:56	0.553
G0109	04.03.2016 8:57	0.728
G0110	04.03.2016 8:58	0.181
G0111	04.03.2016 9:03	0.139
G0112	04.03.2016 9:10	0.583
G0113	04.03.2016 9:14	0.357
G0223	04.03.2016 9:15	0.658
G0114	04.03.2016 9:29	0.865
G0115	04.03.2016 9:29	0.322
G0116	04.03.2016 9:31	0.674
G0117	04.03.2016 9:35	0.67
G0118	04.03.2016 9:40	0.684
G0119	04.03.2016 9:48	0.39
G0120	04.03.2016 9:51	0.767
G0121	04.03.2016 10:07	0.38
G0122	04.03.2016 10:12	0.806
G0123	04.03.2016 10:15	0.564
G0124	04.03.2016 10:16	0.938
G0125	04.03.2016 10:22	0.087
G0126	04.03.2016 10:27	0.378
G0127	04.03.2016 10:31	0.586
G0128	04.03.2016 10:32	0.641
G0129	04.03.2016 10:33	0.571
G0130	04.03.2016 10:35	0.646
G0131	04.03.2016 10:38	0.134
G0224	04.03.2016 10:39	0.311
G0132	04.03.2016 10:45	0.955
G0133	04.03.2016 10:49	0.691
G0134	04.03.2016 10:55	0.722
G0135	04.03.2016 11:04	0.776
G0136	04.03.2016 11:10	0.44
G0137	04.03.2016 11:12	0.554
G0138	04.03.2016 11:21	0.492
G0139	04.03.2016 11:22	0.166
G0140	04.03.2016 11:25	0.527
G0141	04.03.2016 11:28	0.785
G0142	04.03.2016 11:32	0.139
G0143	04.03.2016 11:35	0.485
G0144	04.03.2016 11:39	0.586
G0145	04.03.2016 11:44	0.71
G0146	04.03.2016 11:45	0.464
G0147	04.03.2016 11:49	0.28
G0148	04.03.2016 12:04	0.874
G0149	04.03.2016 12:07	0.98
G0150	04.03.2016 12:10	0.263
G0151	04.03.2016 12:15	0.069
G0152	04.03.2016 12:24	0.371
G0153	04.03.2016 12:26	0.171
G0154	04.03.2016 12:27	0.572
G0155	04.03.2016 12:31	0.459
G0156	04.03.2016 12:32	0.038
G0157	04.03.2016 12:37	0.519
G0158	04.03.2016 12:39	0.464
G0159	04.03.2016 12:42	0.109
G0160	04.03.2016 12:46	0.354
G0161	04.03.2016 12:47	0.046
G0162	04.03.2016 12:51	0.92
G0163	04.03.2016 12:57	0.987
