ID	Дата	Показатель	Показатель 2	Показатель 3	Показатель 4	Показатель 5
G036	03.03.2016 1:01	0.811	0.38	0.954	0.088	40
G037	03.03.2016 1:12	0.057	0.548	0.674	0.279	54
G038	03.03.2016 1:22	0.042	0.775	0.329	0.424	15
G039	03.03.2016 1:26	0.548	0.944	0.473	0.475	48
G040	03.03.2016 1:27	0.897	0.904	0.514	0.994	44
G041	03.03.2016 1:40	0.783	0.396	0.422	0.612	50
G042	03.03.2016 1:54	0.89	0.57	0.974	0.443	57
G043	03.03.2016 1:56	0.992	0.309	0.388	0.28	62
G044	03.03.2016 2:00	0.965	0.136	0.153	0.544	85
G045	03.03.2016 2:04	0.457	0.958	0.923	0.306	42
G046	03.03.2016 2:07	0.466	0.423	0.378	0.593	6
G047	03.03.2016 2:10	0.636	0.145	0.71	0.904	33
G048	03.03.2016 2:16	0.167	0.827	0.254	0.584	25
G049	03.03.2016 2:17	0.044	0.853	0.02	0.985	27
G050	03.03.2016 2:19	0.426	0.833	0.903	0.705	69
G051	03.03.2016 2:35	0.254	0.056	0.889	0.491	59
G052	03.03.2016 2:37	0.432	0.622	0.859	0.139	58
G053	03.03.2016 2:44	0.039	0.215	0.425	0.21	60
G054	03.03.2016 2:47	0.96	0.724	0.789	0.877	13
G055	03.03.2016 2:59	0.686	0.422	0.3	0.665	65
G056	03.03.2016 2:59	0.088	0.407	0.11	0.558	57
G057	03.03.2016 3:04	0.38	0.821	0.515	0.317	69
G058	03.03.2016 3:09	0.079	0.332	0.139	0.954	46
G059	03.03.2016 3:11	0.228	0.441	0.492	0.884	89
G060	03.03.2016 3:14	0.226	0.821	0.15	0.334	100
G061	03.03.2016 3:18	0.582	0.852	0.163	0.907	73
G062	03.03.2016 3:25	0.5	0.265	0.771	0.046	18
G063	03.03.2016 3:27	0.006	0.795	0.195	0.213	41
G064	03.03.2016 3:32	0.141	0.994	0.501	0.959	67
G065	03.03.2016 3:35	0.578	0.643	0.986	0.481	57
G066	03.03.2016 3:35	0.957	0.761	0.142	0.553	94
G067	03.03.2016 3:39	0.753	0.629	0.318	0.903	71
G068	03.03.2016 3:42	0.439	0.825	0.745	0.5	41
G069	03.03.2016 3:47	0.776	0.119	0.831	0.178	19
G070	03.03.2016 3:49	0.46	0.369	0.252	0.483	62
G071	03.03.2016 3:51	0.824	0.26	0.892	0.07	99
G072	03.03.2016 3:53	0.791	0.228	0.982	0.884	80
G073	03.03.2016 4:12	0.318	0.534	0.421	0.641	64
G074	03.03.2016 4:17	0.315	0.281	0.121	0.969	74
G075	03.03.2016 5:07	0.904	0.142	0.077	0.694	78
G076	03.03.2016 5:09	0.825	0.773	0.995	0.434	21
